Minor,Henrique,Alice,Rebecca,Gretchen
Accuracy,0.95,0.925,0.88,0.925
Balanced Accuracy,0.9017156150043617,0.9114568188426868,0.9101482989241059,0.8879034603082291
Precision,0.6956521739130435,0.5666666666666667,0.43902439024390244,0.5714285714285714
Recall,0.8421052631578947,0.8947368421052632,0.9473684210526315,0.8421052631578947
F1 score,0.761904761904762,0.6938775510204083,0.6,0.6808510638297872

Henrique,Minor,Alice,Rebecca,Gretchen
Accuracy,0.95,0.925,0.89,0.935
Balanced Accuracy,0.8393515106853353,0.881970031933186,0.9000245639891918,0.8876197494473103
Precision,0.8421052631578947,0.6333333333333333,0.5121951219512195,0.6785714285714286
Recall,0.6956521739130435,0.8260869565217391,0.9130434782608695,0.8260869565217391
F1 score,0.761904761904762,0.7169811320754716,0.6562499999999999,0.7450980392156864

Alice,Minor,Henrique,Rebecca,Gretchen
Accuracy,0.925,0.925,0.895,0.93
Balanced Accuracy,0.7774509803921569,0.8049019607843138,0.8696078431372549,0.8490196078431372
Precision,0.8947368421052632,0.8260869565217391,0.6097560975609756,0.7857142857142857
Recall,0.5666666666666667,0.6333333333333333,0.8333333333333334,0.7333333333333333
F1 score,0.6938775510204083,0.7169811320754716,0.7042253521126761,0.7586206896551724

Rebecca,Minor,Henrique,Alice,Gretchen
Accuracy,0.88,0.89,0.895,0.905
Balanced Accuracy,0.7163675410339009,0.7498082527995091,0.7891547783402362,0.7954440865163368
Precision,0.9473684210526315,0.9130434782608695,0.8333333333333334,0.8928571428571429
Recall,0.43902439024390244,0.5121951219512195,0.6097560975609756,0.6097560975609756
F1 score,0.6,0.6562499999999999,0.7042253521126761,0.7246376811594203

Gretchen,Minor,Henrique,Alice,Rebecca
Accuracy,0.925,0.935,0.93,0.905
Balanced Accuracy,0.7769933554817275,0.8276578073089701,0.8696013289036545,0.8999169435215947
Precision,0.8421052631578947,0.8260869565217391,0.7333333333333333,0.6097560975609756
Recall,0.5714285714285714,0.6785714285714286,0.7857142857142857,0.8928571428571429
F1 score,0.6808510638297872,0.7450980392156864,0.7586206896551724,0.7246376811594203

Time
Minor,Henrique,Alice,Rebecca,Gretchen
P-value,"Ttest_indResult(statistic=-0.6511282842956937, pvalue=0.5153394336810517)","Ttest_indResult(statistic=-1.6792513904900654, pvalue=0.09388787289873332)","Ttest_indResult(statistic=-3.110019829200399, pvalue=0.0020053942847624907)","Ttest_indResult(statistic=-1.3973670837714751, pvalue=0.1630816861433446)"

Henrique,Minor,Alice,Rebecca,Gretchen
P-value,"Ttest_indResult(statistic=0.6511282842956937, pvalue=0.5153394336810517)","Ttest_indResult(statistic=-1.0311366692450952, pvalue=0.30310292240053316)","Ttest_indResult(statistic=-2.467465353175564, pvalue=0.014027255193229959)","Ttest_indResult(statistic=-0.7482021510745012, pvalue=0.4547801177568821)"

Alice,Minor,Henrique,Rebecca,Gretchen
P-value,"Ttest_indResult(statistic=1.6792513904900654, pvalue=0.09388787289873332)","Ttest_indResult(statistic=1.0311366692450952, pvalue=0.30310292240053316)","Ttest_indResult(statistic=-1.4395768281638344, pvalue=0.15077320387561693)","Ttest_indResult(statistic=0.28332720334429745, pvalue=0.7770733395099092)"

Rebecca,Minor,Henrique,Alice,Gretchen
P-value,"Ttest_indResult(statistic=3.110019829200399, pvalue=0.0020053942847624907)","Ttest_indResult(statistic=2.467465353175564, pvalue=0.014027255193229959)","Ttest_indResult(statistic=1.4395768281638344, pvalue=0.15077320387561693)","Ttest_indResult(statistic=1.722499594260507, pvalue=0.0857558892876608)"

Gretchen,Minor,Henrique,Alice,Rebecca
P-value,"Ttest_indResult(statistic=1.3973670837714751, pvalue=0.1630816861433446)","Ttest_indResult(statistic=0.7482021510745012, pvalue=0.4547801177568821)","Ttest_indResult(statistic=-0.28332720334429745, pvalue=0.7770733395099092)","Ttest_indResult(statistic=-1.722499594260507, pvalue=0.0857558892876608)"

Time
Minor,Henrique,Alice,Rebecca,Gretchen
P-value,"Ttest_indResult(statistic=-0.6511282842956937, pvalue=0.5153394336810517)","Ttest_indResult(statistic=-1.6792513904900654, pvalue=0.09388787289873332)","Ttest_indResult(statistic=-3.110019829200399, pvalue=0.0020053942847624907)","Ttest_indResult(statistic=-1.3973670837714751, pvalue=0.1630816861433446)"

Henrique,Minor,Alice,Rebecca,Gretchen
P-value,"Ttest_indResult(statistic=0.6511282842956937, pvalue=0.5153394336810517)","Ttest_indResult(statistic=-1.0311366692450952, pvalue=0.30310292240053316)","Ttest_indResult(statistic=-2.467465353175564, pvalue=0.014027255193229959)","Ttest_indResult(statistic=-0.7482021510745012, pvalue=0.4547801177568821)"

Alice,Minor,Henrique,Rebecca,Gretchen
P-value,"Ttest_indResult(statistic=1.6792513904900654, pvalue=0.09388787289873332)","Ttest_indResult(statistic=1.0311366692450952, pvalue=0.30310292240053316)","Ttest_indResult(statistic=-1.4395768281638344, pvalue=0.15077320387561693)","Ttest_indResult(statistic=0.28332720334429745, pvalue=0.7770733395099092)"

Rebecca,Minor,Henrique,Alice,Gretchen
P-value,"Ttest_indResult(statistic=3.110019829200399, pvalue=0.0020053942847624907)","Ttest_indResult(statistic=2.467465353175564, pvalue=0.014027255193229959)","Ttest_indResult(statistic=1.4395768281638344, pvalue=0.15077320387561693)","Ttest_indResult(statistic=1.722499594260507, pvalue=0.0857558892876608)"

Gretchen,Minor,Henrique,Alice,Rebecca
P-value,"Ttest_indResult(statistic=1.3973670837714751, pvalue=0.1630816861433446)","Ttest_indResult(statistic=0.7482021510745012, pvalue=0.4547801177568821)","Ttest_indResult(statistic=-0.28332720334429745, pvalue=0.7770733395099092)","Ttest_indResult(statistic=-1.722499594260507, pvalue=0.0857558892876608)"

