Minor,Henrique,Alice,Rebecca,Gretchen
Accuracy,0.955,0.955,0.925,0.95
Balanced Accuracy,0.5730240549828178,0.5730240549828178,0.5575601374570447,0.4896907216494845
Precision,0.2,0.2,0.09090909090909091,0.0
Recall,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0
F1 score,0.1818181818181818,0.1818181818181818,0.11764705882352942,0.0

Henrique,Minor,Alice,Rebecca,Gretchen
Accuracy,0.955,0.98,0.95,0.975
Balanced Accuracy,0.5871794871794872,0.7948717948717949,0.7794871794871795,0.6948717948717948
Precision,0.16666666666666666,0.6,0.2727272727272727,0.5
Recall,0.2,0.6,0.6,0.4
F1 score,0.1818181818181818,0.6,0.37499999999999994,0.4444444444444445

Alice,Minor,Henrique,Rebecca,Gretchen
Accuracy,0.955,0.98,0.94,0.975
Balanced Accuracy,0.5871794871794872,0.7948717948717949,0.676923076923077,0.6948717948717948
Precision,0.16666666666666666,0.6,0.18181818181818182,0.5
Recall,0.2,0.6,0.4,0.4
F1 score,0.1818181818181818,0.6,0.25000000000000006,0.4444444444444445

Rebecca,Minor,Henrique,Alice,Gretchen
Accuracy,0.925,0.95,0.94,0.945
Balanced Accuracy,0.5322270322270322,0.6310726310726311,0.5829725829725829,0.5856180856180856
Precision,0.16666666666666666,0.6,0.4,0.5
Recall,0.09090909090909091,0.2727272727272727,0.18181818181818182,0.18181818181818182
F1 score,0.11764705882352942,0.37499999999999994,0.25000000000000006,0.26666666666666666

Gretchen,Minor,Henrique,Alice,Rebecca
Accuracy,0.95,0.975,0.975,0.945
Balanced Accuracy,0.4846938775510204,0.7423469387755102,0.7423469387755102,0.7270408163265306
Precision,0.0,0.4,0.4,0.18181818181818182
Recall,0.0,0.5,0.5,0.5
F1 score,0.0,0.4444444444444445,0.4444444444444445,0.26666666666666666

