Minor,Henrique,Alice,Rebecca,Gretchen
Accuracy,0.91,0.945,0.935,0.915
Balanced Accuracy,0.47643979057591623,0.49476439790575916,0.4895287958115183,0.4790575916230366
Precision,0.0,0.0,0.0,0.0
Recall,0.0,0.0,0.0,0.0
F1 score,0.0,0.0,0.0,0.0

Henrique,Minor,Alice,Rebecca,Gretchen
Accuracy,0.91,0.945,0.955,0.935
Balanced Accuracy,0.47643979057591623,0.49476439790575916,0.6058755090168703,0.5954043048283886
Precision,0.0,0.0,0.5,0.25
Recall,0.0,0.0,0.2222222222222222,0.2222222222222222
F1 score,0.0,0.0,0.30769230769230765,0.23529411764705882

Alice,Minor,Henrique,Rebecca,Gretchen
Accuracy,0.945,0.945,0.97,0.96
Balanced Accuracy,0.4772727272727273,0.4772727272727273,0.4898989898989899,0.7323232323232323
Precision,0.0,0.0,0.0,0.125
Recall,0.0,0.0,0.0,0.5
F1 score,0.0,0.0,0.0,0.2

Rebecca,Minor,Henrique,Alice,Gretchen
Accuracy,0.935,0.955,0.97,0.97
Balanced Accuracy,0.4770408163265306,0.7321428571428572,0.49489795918367346,0.8622448979591837
Precision,0.0,0.2222222222222222,0.0,0.375
Recall,0.0,0.5,0.0,0.75
F1 score,0.0,0.30769230769230765,0.0,0.5

Gretchen,Minor,Henrique,Alice,Rebecca
Accuracy,0.915,0.935,0.96,0.97
Balanced Accuracy,0.4765625,0.6067708333333333,0.5598958333333333,0.6848958333333333
Precision,0.0,0.2222222222222222,0.5,0.75
Recall,0.0,0.25,0.125,0.375
F1 score,0.0,0.23529411764705882,0.2,0.5

