Gretchen,Minor,Henrique,Alice,Rebecca
Accuracy,0.64,0.67,0.47,0.66
Balanced Accuracy,0.7005879692446857,0.6153324287652646,0.4968340117593849,0.6347806422433289
Precision,0.8974358974358975,0.7428571428571429,0.6666666666666666,0.7661290322580645
Recall,0.5223880597014925,0.7761194029850746,0.417910447761194,0.7089552238805971
F1 score,0.660377358490566,0.759124087591241,0.5137614678899082,0.7364341085271318

Minor,Henrique,Alice,Rebecca,Gretchen
Accuracy,0.59,0.56,0.59,0.64
Balanced Accuracy,0.6408154686843212,0.544556536359815,0.6223203026481715,0.6864228667507356
Precision,0.4857142857142857,0.44047619047619047,0.4838709677419355,0.5223880597014925
Recall,0.8717948717948718,0.47435897435897434,0.7692307692307693,0.8974358974358975
F1 score,0.6238532110091742,0.4567901234567901,0.5940594059405941,0.660377358490566

Henrique,Minor,Alice,Rebecca,Gretchen
Accuracy,0.59,0.58,0.75,0.67
Balanced Accuracy,0.6595238095238095,0.6333333333333333,0.7404761904761905,0.6214285714285714
Precision,0.8717948717948718,0.8333333333333334,0.8629032258064516,0.7761194029850746
Recall,0.4857142857142857,0.5,0.7642857142857142,0.7428571428571429
F1 score,0.6238532110091742,0.625,0.8106060606060607,0.759124087591241

Alice,Minor,Henrique,Rebecca,Gretchen
Accuracy,0.56,0.58,0.55,0.47
Balanced Accuracy,0.5435139573070608,0.6149425287356323,0.5710180623973727,0.49712643678160917
Precision,0.47435897435897434,0.5,0.47580645161290325,0.417910447761194
Recall,0.44047619047619047,0.8333333333333334,0.7023809523809523,0.6666666666666666
F1 score,0.4567901234567901,0.625,0.5673076923076923,0.5137614678899082

Rebecca,Minor,Henrique,Alice,Gretchen
Accuracy,0.59,0.75,0.55,0.66
Balanced Accuracy,0.6235144312393888,0.7143463497453311,0.5734295415959253,0.6264855687606112
Precision,0.7692307692307693,0.7642857142857142,0.7023809523809523,0.7089552238805971
Recall,0.4838709677419355,0.8629032258064516,0.47580645161290325,0.7661290322580645
F1 score,0.5940594059405941,0.8106060606060607,0.5673076923076923,0.7364341085271318

Gretchen,Minor,Henrique,Alice,Rebecca
Accuracy,0.64,0.67,0.47,0.66
Balanced Accuracy,0.7005879692446857,0.6153324287652646,0.4968340117593849,0.6347806422433289
Precision,0.8974358974358975,0.7428571428571429,0.6666666666666666,0.7661290322580645
Recall,0.5223880597014925,0.7761194029850746,0.417910447761194,0.7089552238805971
F1 score,0.660377358490566,0.759124087591241,0.5137614678899082,0.7364341085271318

